Time,CH A,CH B,
8.70435E-3,1.67813E-1,-1.67625E-2,
8.72936E-3,1.83813E-1,-1.19625E-2,
8.75438E-3,1.67813E-1,-1.75625E-2,
8.77939E-3,1.83813E-1,-1.27625E-2,
8.8044E-3,1.71813E-1,-1.67625E-2,
8.82941E-3,1.87813E-1,-1.27625E-2,
8.85443E-3,1.67813E-1,-1.75625E-2,
8.87944E-3,1.83813E-1,-1.27625E-2,
8.90445E-3,1.67813E-1,-1.67625E-2,
8.92946E-3,1.83813E-1,-1.27625E-2,
8.95448E-3,1.63813E-1,-1.67625E-2,
8.97949E-3,1.83813E-1,-1.35625E-2,
9.0045E-3,1.59813E-1,-1.67625E-2,
9.02951E-3,1.79813E-1,-1.19625E-2,
9.05453E-3,1.59813E-1,-1.75625E-2,
9.07954E-3,1.75813E-1,-1.27625E-2,
9.10455E-3,1.59813E-1,-1.75625E-2,
9.12956E-3,1.75813E-1,-1.27625E-2,
9.15458E-3,1.63813E-1,-1.75625E-2,
9.17959E-3,1.79813E-1,-1.27625E-2,
9.2046E-3,1.67813E-1,-1.75625E-2,
9.22961E-3,1.83813E-1,-1.27625E-2,
9.25463E-3,1.67813E-1,-1.75625E-2,
9.27964E-3,1.83813E-1,-1.35625E-2,
9.30465E-3,1.67813E-1,-1.67625E-2,
9.32966E-3,1.83813E-1,-1.19625E-2,
9.35468E-3,1.67813E-1,-1.75625E-2,
9.37969E-3,1.87813E-1,-1.27625E-2,
9.4047E-3,1.75813E-1,-1.75625E-2,
9.42971E-3,1.91813E-1,-1.27625E-2,
9.45473E-3,1.71813E-1,-1.75625E-2,
9.47974E-3,1.91813E-1,-1.27625E-2,
9.50475E-3,1.75813E-1,-1.75625E-2,
9.52976E-3,1.91813E-1,-1.19625E-2,
9.55478E-3,1.71813E-1,-1.67625E-2,
9.57979E-3,1.91813E-1,-1.35625E-2,
9.6048E-3,1.75813E-1,-1.83625E-2,
9.62981E-3,1.91813E-1,-1.27625E-2,
9.65483E-3,1.75813E-1,-1.83625E-2,
9.67984E-3,1.91813E-1,-1.27625E-2,
9.70485E-3,1.75813E-1,-1.75625E-2,
9.72986E-3,1.91813E-1,-1.35625E-2,
9.75488E-3,1.75813E-1,-1.75625E-2,
9.77989E-3,1.87813E-1,-1.35625E-2,
9.8049E-3,1.75813E-1,-1.75625E-2,
9.82991E-3,1.87813E-1,-1.27625E-2,
9.85493E-3,1.75813E-1,-1.75625E-2,
9.87994E-3,1.91813E-1,-1.35625E-2,
9.90495E-3,1.75813E-1,-1.75625E-2,
9.92996E-3,1.91813E-1,-1.27625E-2,
9.95498E-3,1.75813E-1,-1.83625E-2,
9.97999E-3,1.91813E-1,-1.27625E-2,
1.0005E-2,1.75813E-1,-1.75625E-2,
1.003E-2,1.91813E-1,-1.19625E-2,
1.0055E-2,1.75813E-1,-1.75625E-2,
1.008E-2,1.91813E-1,-1.35625E-2,
1.01051E-2,1.75813E-1,-1.75625E-2,
1.01301E-2,1.87813E-1,-1.35625E-2,
1.01551E-2,1.71813E-1,-1.75625E-2,
1.01801E-2,1.87813E-1,-1.27625E-2,
1.02051E-2,1.71813E-1,-1.83625E-2,
1.02301E-2,1.87813E-1,-1.27625E-2,
1.02551E-2,1.71813E-1,-1.75625E-2,
1.02801E-2,1.87813E-1,-1.35625E-2,
1.03052E-2,1.67813E-1,-1.83625E-2,
1.03302E-2,1.83813E-1,-1.35625E-2,
1.03552E-2,1.71813E-1,-1.75625E-2,
1.03802E-2,1.87813E-1,-1.27625E-2,
1.04052E-2,1.71813E-1,-1.83625E-2,
1.04302E-2,1.87813E-1,-1.35625E-2,
1.04552E-2,1.71813E-1,-1.75625E-2,
1.04802E-2,1.87813E-1,-1.35625E-2,
1.05053E-2,1.75813E-1,-1.75625E-2,
1.05303E-2,1.91813E-1,-1.35625E-2,
1.05553E-2,1.75813E-1,-1.75625E-2,
1.05803E-2,1.95813E-1,-1.27625E-2,
1.06053E-2,1.79813E-1,-1.83625E-2,
1.06303E-2,1.99813E-1,-1.27625E-2,
1.06553E-2,1.79813E-1,-1.83625E-2,
1.06803E-2,1.95813E-1,-1.35625E-2,
1.07054E-2,1.79813E-1,-1.91625E-2,
1.07304E-2,1.91813E-1,-1.35625E-2,
1.07554E-2,1.79813E-1,-1.75625E-2,
1.07804E-2,1.95813E-1,-1.35625E-2,
1.08054E-2,1.79813E-1,-1.83625E-2,
1.08304E-2,1.95813E-1,-1.35625E-2,
1.08554E-2,1.79813E-1,-1.75625E-2,
1.08804E-2,1.95813E-1,-1.35625E-2,
1.09055E-2,1.75813E-1,-1.75625E-2,
1.09305E-2,1.91813E-1,-1.35625E-2,
1.09555E-2,1.75813E-1,-1.83625E-2,
1.09805E-2,1.91813E-1,-1.35625E-2,
1.10055E-2,1.75813E-1,-1.83625E-2,
1.10305E-2,1.91813E-1,-1.35625E-2,
1.10555E-2,1.71813E-1,-1.75625E-2,
1.10805E-2,1.91813E-1,-1.35625E-2,
1.11056E-2,1.71813E-1,-1.75625E-2,
1.11306E-2,1.87813E-1,-1.27625E-2,
1.11556E-2,1.67813E-1,-1.75625E-2,
1.11806E-2,1.87813E-1,-1.35625E-2,
1.12056E-2,1.67813E-1,-1.75625E-2,
1.12306E-2,1.83813E-1,-1.27625E-2,
1.12556E-2,1.63813E-1,-1.75625E-2,
1.12806E-2,1.79813E-1,-1.27625E-2,
1.13057E-2,1.55813E-1,-1.83625E-2,
1.13307E-2,1.75813E-1,-1.27625E-2,
1.13557E-2,1.55813E-1,-1.75625E-2,
1.13807E-2,1.71813E-1,-1.35625E-2,
1.14057E-2,1.55813E-1,-1.83625E-2,
1.14307E-2,1.71813E-1,-1.35625E-2,
1.14557E-2,1.55813E-1,-1.83625E-2,
1.14807E-2,1.71813E-1,-1.35625E-2,
1.15058E-2,1.55813E-1,-1.75625E-2,
1.15308E-2,1.75813E-1,-1.27625E-2,
1.15558E-2,1.59813E-1,-1.75625E-2,
1.15808E-2,1.75813E-1,-1.27625E-2,
1.16058E-2,1.59813E-1,-1.75625E-2,
1.16308E-2,1.75813E-1,-1.27625E-2,
1.16558E-2,1.59813E-1,-1.83625E-2,
1.16808E-2,1.75813E-1,-1.27625E-2,
1.17059E-2,1.63813E-1,-1.75625E-2,
1.17309E-2,1.79813E-1,-1.27625E-2,
1.17559E-2,1.63813E-1,-1.83625E-2,
1.17809E-2,1.79813E-1,-1.35625E-2,
1.18059E-2,1.59813E-1,-1.83625E-2,
1.18309E-2,1.75813E-1,-1.27625E-2,
1.18559E-2,1.63813E-1,-1.83625E-2,
1.18809E-2,1.79813E-1,-1.35625E-2,
1.1906E-2,1.63813E-1,-1.83625E-2,
1.1931E-2,1.79813E-1,-1.27625E-2,
1.1956E-2,1.59813E-1,-1.67625E-2,
1.1981E-2,1.75813E-1,-1.27625E-2,
1.2006E-2,1.59813E-1,-1.83625E-2,
1.2031E-2,1.75813E-1,-1.35625E-2,
1.2056E-2,1.55813E-1,-1.83625E-2,
1.2081E-2,1.71813E-1,-1.35625E-2,
1.21061E-2,1.51813E-1,-1.75625E-2,
1.21311E-2,1.71813E-1,-1.27625E-2,
1.21561E-2,1.51813E-1,-1.75625E-2,
1.21811E-2,1.71813E-1,-1.27625E-2,
1.22061E-2,1.55813E-1,-1.75625E-2,
1.22311E-2,1.71813E-1,-1.35625E-2,
1.22561E-2,1.55813E-1,-1.75625E-2,
1.22811E-2,1.71813E-1,-1.35625E-2,
1.23062E-2,1.51813E-1,-1.75625E-2,
1.23312E-2,1.67813E-1,-1.27625E-2,
1.23562E-2,1.47813E-1,-1.75625E-2,
1.23812E-2,1.67813E-1,-1.27625E-2,
1.24062E-2,1.43813E-1,-1.75625E-2,
1.24312E-2,1.63813E-1,-1.27625E-2,
1.24562E-2,1.35813E-1,-1.75625E-2,
1.24812E-2,1.59813E-1,-1.35625E-2,
1.25063E-2,1.35813E-1,-1.75625E-2,
1.25313E-2,1.51813E-1,-1.35625E-2,
1.25563E-2,1.35813E-1,-1.83625E-2,
1.25813E-2,1.51813E-1,-1.19625E-2,
1.26063E-2,1.35813E-1,-1.75625E-2,
1.26313E-2,1.51813E-1,-1.27625E-2,
1.26563E-2,1.27813E-1,-1.83625E-2,
1.26813E-2,1.47813E-1,-1.27625E-2,
1.27064E-2,1.27813E-1,-1.67625E-2,
1.27314E-2,1.43813E-1,-1.19625E-2,
1.27564E-2,1.27813E-1,-1.75625E-2,
1.27814E-2,1.43813E-1,-1.19625E-2,
1.28064E-2,1.27813E-1,-1.67625E-2,
1.28314E-2,1.43813E-1,-1.27625E-2,
1.28564E-2,1.27813E-1,-1.75625E-2,
1.28814E-2,1.43813E-1,-1.27625E-2,
1.29065E-2,1.27813E-1,-1.67625E-2,
1.29315E-2,1.39813E-1,-1.27625E-2,
1.29565E-2,1.23813E-1,-1.75625E-2,
1.29815E-2,1.39813E-1,-1.27625E-2,
1.30065E-2,1.23813E-1,-1.59625E-2,
1.30315E-2,1.39813E-1,-1.27625E-2,
1.30565E-2,1.23813E-1,-1.75625E-2,
1.30815E-2,1.39813E-1,-1.27625E-2,
1.31066E-2,1.23813E-1,-1.75625E-2,
1.31316E-2,1.39813E-1,-1.27625E-2,
1.31566E-2,1.23813E-1,-1.75625E-2,
1.31816E-2,1.39813E-1,-1.27625E-2,
1.32066E-2,1.23813E-1,-1.67625E-2,
